date, coordinates,wasRead,whenWasRead
2019-03-23T00:00:00.00Z,Job 8-10,FALSE,
2019-03-24T00:00:00.00Z,Matthew 19:16-30,FALSE,
2019-03-25T00:00:00.00Z,Proverbs 3:11-20,FALSE,
2019-03-26T00:00:00.00Z,Job 11-14,FALSE,
2019-03-27T00:00:00.00Z,Matthew 20:1-19,FALSE,
2019-03-28T00:00:00.00Z,Psalm 17:6-12,FALSE,
2019-03-29T00:00:00.00Z,Job 15-18,FALSE,
2019-03-30T00:00:00.00Z,Matthew 20:20-34,FALSE,
2019-03-31T00:00:00.00Z,Psalm 17:13-15,FALSE,
2019-04-01T00:00:00.00Z,Job 19-21,FALSE,
2019-04-02T00:00:00.00Z,Matthew 21:1-17,FALSE,
2019-04-03T00:00:00.00Z,Psalm 18:1-6,FALSE,
2019-04-04T00:00:00.00Z,Job 22-24,FALSE,
2019-04-05T00:00:00.00Z,Matthew 21:18-32,FALSE,
2019-04-06T00:00:00.00Z,Proverbs 3:21-35,FALSE,
2019-04-07T00:00:00.00Z,Job 25-29,FALSE,
2019-04-08T00:00:00.00Z,Matthew 21:33-22:14,FALSE,
2019-04-09T00:00:00.00Z,Psalm 18:7-15,FALSE,
2019-04-10T00:00:00.00Z,Job 30-32,FALSE,
2019-04-11T00:00:00.00Z,Matthew 22:15-45,FALSE,
2019-04-12T00:00:00.00Z,Psalm 18:16-24,FALSE,
2019-04-13T00:00:00.00Z,Job 33-35,FALSE,
2019-04-14T00:00:00.00Z,Matthew 23,FALSE,
2019-04-15T00:00:00.00Z,Psalm 18:25-36,FALSE,
2019-04-16T00:00:00.00Z,Job 36-38,FALSE,
2019-04-17T00:00:00.00Z,Matthew 24:1-31,FALSE,
2019-04-18T00:00:00.00Z,Proverbs 4:1-9,FALSE,
2019-04-19T00:00:00.00Z,Job 39-32,FALSE,
2019-04-20T00:00:00.00Z,Matthew 24:32-25:13,FALSE,
2019-04-21T00:00:00.00Z,Psalm 18:37-42,FALSE,
2019-04-22T00:00:00.00Z,Exodus 1-2,FALSE,
2019-04-23T00:00:00.00Z,Matthew 25:14-46,FALSE,
2019-04-24T00:00:00.00Z,Psalm 18:43-50,FALSE,
2019-04-25T00:00:00.00Z,Exodus 3-4,FALSE,
2019-04-26T00:00:00.00Z,Matthew 26:1-30,FALSE,
2019-04-27T00:00:00.00Z,Psalm 19:1-6,FALSE,
2019-04-28T00:00:00.00Z,Exodus 5:1-6:27,FALSE,
2019-04-29T00:00:00.00Z,Matthew 26:31-46,FALSE,
2019-04-30T00:00:00.00Z,Proverbs 4:10-19,FALSE,
2019-05-01T00:00:00.00Z,Exodus 6:28-8:32,FALSE,
2019-05-02T00:00:00.00Z,Matthew 26:47-68,FALSE,
2019-05-03T00:00:00.00Z,Psalm 19:7-14,FALSE,
2019-05-04T00:00:00.00Z,Exodus 9-10,FALSE,
2019-05-05T00:00:00.00Z,Matthew 26:69-27:10,FALSE,
2019-05-06T00:00:00.00Z,Psalm 20,FALSE,
2019-05-07T00:00:00.00Z,Exodus 11-12,FALSE,
2019-05-08T00:00:00.00Z,Matthew 27:11-44,FALSE,
2019-05-09T00:00:00.00Z,Psalm 21:1-7,FALSE,
2019-05-10T00:00:00.00Z,Exodus 13-14,FALSE,
2019-05-11T00:00:00.00Z,Matthew 27:45-66,FALSE,
2019-05-12T00:00:00.00Z,Proverbs 4:20-27,FALSE,
2019-05-13T00:00:00.00Z,Exodus 15-16,FALSE,
2019-05-14T00:00:00.00Z,Matthew 28,FALSE,
2019-05-15T00:00:00.00Z,Psalm 21:8-13,FALSE,
2019-05-16T00:00:00.00Z,Exodus 17-18,FALSE,
2019-05-17T00:00:00.00Z,Mark 1:1-28,FALSE,
2019-05-18T00:00:00.00Z,Psalm 22:1-11,FALSE,
2019-05-19T00:00:00.00Z,Exodus 19-20,FALSE,
2019-05-20T00:00:00.00Z,Mark 1:29-2:17,FALSE,
2019-05-21T00:00:00.00Z,Psalm 22:12-21,FALSE,
2019-05-22T00:00:00.00Z,Exodus 21-22,FALSE,
2019-05-23T00:00:00.00Z,Mark 2:18-3:30,FALSE,
2019-05-24T00:00:00.00Z,Proverbs 5:1-14,FALSE,
2019-05-25T00:00:00.00Z,Exodus 23-24,FALSE,
2019-05-26T00:00:00.00Z,Mark 3:31-4:29,FALSE,
2019-05-27T00:00:00.00Z,Psalm 22:22-31,FALSE,
2019-05-28T00:00:00.00Z,Exodus 25-26,FALSE,
2019-05-29T00:00:00.00Z,Mark 4:30-5:20,FALSE,
2019-05-30T00:00:00.00Z,Psalm 23,FALSE,
2019-05-31T00:00:00.00Z,Exodus 27-28,FALSE,
2019-06-01T00:00:00.00Z,Mark 5:21-6:6a,FALSE,
2019-06-02T00:00:00.00Z,Psalm 24,FALSE,
2019-06-03T00:00:00.00Z,Exodus 29-30,FALSE,
